state,state_abr,title,party,first_last_,climate_denier,display_on_default,quote_text,quote_reference,quote_reference_url,total_career_contributions
Alabama,al,Representative,Republican,Gary Palmer,TRUE,FALSE,"Alabama.com reported that Rep. Palmer said, ""I am a firm believer in sound science. There have been new findings that clearly show the science is not settled on climate change.""","Alabama.com, 11/2/16",http://www.al.com/opinion/index.ssf/2016/11/climate_changes_and_alabamians.html,"$70,350"
Alabama,al,Representative,Republican,Mo Brooks,TRUE,FALSE,"In a recent hearing of the House Committee on Science, Space and Technology, Rep. Brooks implied that rocks were causing rising sea levels, rather than climate change: ""What about erosion? Every time you have that soil or rock, whatever it is, that is deposited into the seas, that forces the sea levels to rise because now you've got less space in those oceans because the bottom is moving up.""","CNN, 5/18/18",https://www.cn...ge/index.html,"$24,000"
Alabama,al,Representative,Republican,Robert Aderholt,TRUE,FALSE,"In an op-ed for the Daily Mountain Eagle, Rep. Aderholt wrote: ""I fall into the second group of people who believe, as do many very credible scientists, that the earth is currently in a natural warming cycle rather than a man-made climate change. Many scientists believe that natural cycles of warming and cooling have existed since the beginning of Earth. If we take the current models of climate prediction and apply those same models to what actually happened in the last thirty years, the models are shown to be very flawed. In addition, what knowledge we do have of a warming period in the Middle Ages cannot be explained by current models which are focused on greenhouse gas reductions.""","Office of Rep. Robert B. Aderholt, 12/13/09",https://aderholt.house.gov/media-center/in-the-news/controversy-about-climate-change,"$383,383"
Alaska,ak,Representative,Republican,Don Young,TRUE,FALSE,"Rep. Young's website says, ""I do not challenge that climate change is occurring, but the central question awaiting an answer is to what extent man-made emissions are responsible for this change. Contrary to popular opinion, that question remains unanswered.""","Office of Rep. Don Young, last accessed 1/19",https://donyoung.house.gov/issues/issue/?IssueID=5006,"$1,482,013"
Arizona,az,Representative,Republican,Andy Biggs,TRUE,FALSE,"The Arizona Republic reports that at a town hall, Rep. Biggs said, “There are credible scientists who say climate change exists; we aren’t sure why. There are credible scientists who say that. There are credible scientists who say it doesn’t.”","The Arizona Republic, 4/11/17",https://www.azcentral.com/story/news/politics/arizona/2017/04/12/andy-biggs-town-hall-arizona/100124436/,"$25,000"
Arizona,az,Representative,Republican,Debbie Lesko,TRUE,FALSE,"According to The Arizona Republic, when Rep. Lesko was asked at a candidate debate whether she believed in climate change, she responded: ""Is some of it, maybe, human-caused? Possibly. But certainly not the majority of it. I think it just goes through cycles and it has to do a lot with the sun. So no, I'm not a global warming proponent.""","The Arizona Republic, 1/30/18",https://www.azcentral.com/story/news/local/arizona-environment/2018/01/30/west-valley-congressional-candidates-climate-change/1067821001/,"$41,650"
Arizona,az,Representative,Republican,David Schweikert,TRUE,FALSE,"In a 2008 interview, Rep. Schweikert said: ""Understanding what part of climate change is part of a natural cycle and what part has human components is the first step. Our elected officials must be careful to react to facts and not folklore.""","HuffPost, 1/16/14",https://www.huffingtonpost.com/2014/01/16/house-science-schweikert-_n_4613145.html,"$102,815"
Arizona,az,Representative,Republican,Paul Gosar,TRUE,FALSE,"Rep. Gosar tweeted, ""The Paris Climate Agreement won't change the climate but it will bankrupt the US. Also, it's unconstitutional."" Additionally, in a press release that accompanied the tweet, he maintained: “President Trump ran his campaign on the idea of putting America’s interests first. He can fulfill that pledge in a big way by using his authority to completely withdraw the United States from the misguided Paris Climate Agreement. This unconstitutional treaty is nothing more than an extension of the Obama Administration’s ideological war on affordable energy. This liberal pipedream abdicates our sovereignty in favor of a global redistribution of wealth. Furthermore, this scheme was designed to favor our economic rivals like China and India by giving them until 2030 to reduce emissions while the United States front-loaded our costs at the expense of American jobs.""","Twitter, 4/18/17",https://twitter.com/RepGosar/status/854409324390748161,"$89,300"
Arkansas,ar,Representative,Republican,Bruce Westerman,TRUE,FALSE,"In a 2017 hearing, Rep. Westerman said: “I assume if climate’s changing, it’s changing in Arkansas, as well as other places. So I did a little research and found out the number of forest fires in Arkansas has actually decreased over the past 20 years. It’s either held level or slightly decreased as our management has continued to increase. So apparently the climate change isn’t affecting forest fires in my state. You would think even though it’s a more moderate or temperate climate, if climate change was causing more fires we would see a lot more of them than what’s in the baseline.”","Office of Rep. Bruce Westerman, 6/8/17",https://westerman.house.gov/media-center/videos/bruce-westerman-questions-wildfire-prevention-house-subcommittee-federal-lands,"$172,050"
Arkansas,ar,Representative,Republican,Rick Crawford,TRUE,FALSE,"While speaking to radio station KASU 91.9 FM, Rep. Crawford fielded a question regarding climate change and then-President Barack Obama’s environmental agenda: “There’s not sound science to support some of the initiatives that the President, I think, is committed to. We know that some of the research was faulty and it drove a lot of the agenda for a long time. And then it turned out there were some questions about the validity of that research.” He continued, “I don’t see a lot of the green initiatives that are being talked about being supported by scientific data, but more supported by political agendas.”","Talk Business & Politics, 1/27/13",http://talkbusiness.net/2013/01/cong-crawford-wants-permanent-spending-controls/,"$88,022"
Arkansas,ar,Representative,Republican,Steve Womack,TRUE,FALSE,"The Times Record reported that Rep. Womack said, “The climate changes — it has throughout history. The real debate is who or what is causing it?”","The Times Record, 10/28/18",http://www.swtimes.com/news/20181028/is-global-climate-change-man-made-or-not-arkansas-3rd-district-congressional-candidates-respond,"$114,869"
California,ca,Representative,Republican,Devin Nunes,TRUE,FALSE,"E&E News reported that in a recent podcast, Rep. Nunes said, ""When I was a kid, we were having global cooling, and we were going to go into another ice age, and now we've switched it to now the Earth is warming.""","E&E News, 9/11/18",https://www.eenews.net/stories/1060096459,"$460,700"
California,ca,Representative,Republican,Doug LaMalfa,TRUE,FALSE,"The Guardian reported: ""At a public meeting not far from the California town of Redding last year, the US congressman Doug LaMalfa said that he 'didn’t buy' human-made climate change. 'I think there’s a lot of bad science behind what people are calling global warming,' he said on another occasion.""","The Guardian, 8/1/18",https://www.theguardian.com/environment/2018/jul/31/california-wildfire-climate-change-carr-fire,"$103,230"
California,ca,Representative,Republican,Duncan D Hunter,TRUE,FALSE,"Times of San Diego reported that Rep. Hunter said, “There is climate change. Is there human-caused climate change? I don’t buy that.”","Times of San Diego, 9/26/14",http://timesofsandiego.com/politics/2014/09/26/hunter-kimber-spar-50th-district-debate/,"$77,350"
California,ca,Representative,Republican,Ken Calvert,TRUE,FALSE,"Rep. Calvert co-sponsored H.R. 954, a resolution that stated: “Whereas recent events have uncovered extensive evidence from the Climate Research Unit at the University of East Anglia in England (in this resolution referred to as the ‘CRU’) which involved many researchers across the globe discussing the destruction, altering, and hiding of data that did not support global warming claims.”","H.R. 954, 12/8/09",https://www.govinfo.gov/content/pkg/BILLS-111hres954ih/pdf/BILLS-111hres954ih.pdf,"$387,124"
California,ca,Representative,Republican,Kevin McCarthy,TRUE,FALSE,"According to InsideClimate News, ""When asked specifically about whether human activities are driving climate change, McCarthy told The Wall Street Journal, 'I think there are changes in the environment. There are a lot of items to contribute to it.'""","InsideClimate News, 10/1/15",https://insideclimatenews.org/news/30092015/john-boehner-house-speaker-kevin-mccarthy-climate-change,"$1,549,100"
California,ca,Representative,Republican,Tom McClintock,TRUE,FALSE,"Time reported: ""'The climate has been changing for four and a half billion years,' McClintock said in a Sept. 23 [2018] debate with his Democratic opponent. 'The extent to which human activity has a role to play is being hotly debated right now.' He offered a similarly inaccurate statement during an Oct. 8 debate hosted by KQED. 'There’s no question that global temperatures have been warming on and off since the last ice age,' he said. 'The question is what are we going to do about them.'""","Time, 10/15/18",http://time.com/5413384/california-wildfires-climate-change/,"$213,100"
Colorado,co,Representative,Republican,Doug Lamborn,TRUE,FALSE,"On Twitter, Rep. Lamborn wrote, ""#SOTU if climate change is such a settled issue, why does a recent @pewresearch poll show that only 30% of Americans are 'very concerned'?""","Twitter, 1/12/16",https://twitter.com/RepDLamborn/status/687101063107710977,"$365,438"
Colorado,co,Representative,Republican,Ken Buck,TRUE,FALSE,The New York Times reported that Rep. Buck recently called one military proposal part of a “radical climate change agenda.”,"The New York Times, 9/3/16",https://www.nytimes.com/2016/09/04/science/flooding-of-coast-caused-by-global-warming-has-already-begun.html?_r=0,"$488,122"
Colorado,co,Representative,Republican,Scott Tipton,TRUE,FALSE,"When asked whether he thinks that humans play a role in climate change, Rep. Tipton responded: ""I think that we've got a role to play. We need to take an advantage of new technology ... We're all in concert in terms of making sure that it's done right, and the role that we as humans have to play is making sure that we are good stewards.""","Aspen Public Radio, 4/2/17",https://www.aspenpublicradio.org/post/tipton-talks-climate-public-lands,"$615,213"
